Node List,Node Source
PIK3CG,c2.cp.wikipathways.v2023.2.Hs.symbols
STAT5A,c2.cp.wikipathways.v2023.2.Hs.symbols
PTPN11,c2.cp.wikipathways.v2023.2.Hs.symbols
LYN,c2.cp.wikipathways.v2023.2.Hs.symbols
SOS1,c2.cp.wikipathways.v2023.2.Hs.symbols
JAK2,c2.cp.wikipathways.v2023.2.Hs.symbols
SPRED1,c2.cp.wikipathways.v2023.2.Hs.symbols
MAP2K2,c2.cp.wikipathways.v2023.2.Hs.symbols
BTK,c2.cp.wikipathways.v2023.2.Hs.symbols
SHC1,c2.cp.wikipathways.v2023.2.Hs.symbols
SYK,c2.cp.wikipathways.v2023.2.Hs.symbols
IL5RA,c2.cp.wikipathways.v2023.2.Hs.symbols
STAT5B,c2.cp.wikipathways.v2023.2.Hs.symbols
GRB2,c2.cp.wikipathways.v2023.2.Hs.symbols
PIK3R2,c2.cp.wikipathways.v2023.2.Hs.symbols
FOXO3,c2.cp.wikipathways.v2023.2.Hs.symbols
GSK3A,c2.cp.wikipathways.v2023.2.Hs.symbols
MAPT,c2.cp.wikipathways.v2023.2.Hs.symbols
ITPR1,c2.cp.wikipathways.v2023.2.Hs.symbols
SRF,c2.cp.wikipathways.v2023.2.Hs.symbols
RASGRF1,c2.cp.wikipathways.v2023.2.Hs.symbols
GNAI1,c2.cp.wikipathways.v2023.2.Hs.symbols
GNAI3,c2.cp.wikipathways.v2023.2.Hs.symbols
PDPK1,c2.cp.wikipathways.v2023.2.Hs.symbols
HTR1A,c2.cp.wikipathways.v2023.2.Hs.symbols
FOS,c2.cp.wikipathways.v2023.2.Hs.symbols
GNAO1,c2.cp.wikipathways.v2023.2.Hs.symbols
RAP1A,c2.cp.wikipathways.v2023.2.Hs.symbols
HTR1D,c2.cp.wikipathways.v2023.2.Hs.symbols
MAP2K3,c2.cp.wikipathways.v2023.2.Hs.symbols
GNAQ,c2.cp.wikipathways.v2023.2.Hs.symbols
RHOA,c2.cp.wikipathways.v2023.2.Hs.symbols
HTR1E,c2.cp.wikipathways.v2023.2.Hs.symbols
RASGRP1,c2.cp.wikipathways.v2023.2.Hs.symbols
HTR1F,c2.cp.wikipathways.v2023.2.Hs.symbols
BRAF,c2.cp.wikipathways.v2023.2.Hs.symbols
MAP2K6,c2.cp.wikipathways.v2023.2.Hs.symbols
HTR1B,c2.cp.wikipathways.v2023.2.Hs.symbols
RPS6KA5,c2.cp.wikipathways.v2023.2.Hs.symbols
ELK4,c2.cp.wikipathways.v2023.2.Hs.symbols
GNAI2,c2.cp.wikipathways.v2023.2.Hs.symbols
HTR2A,c2.cp.wikipathways.v2023.2.Hs.symbols
MAPKAPK3,c2.cp.wikipathways.v2023.2.Hs.symbols
CREB1,c2.cp.wikipathways.v2023.2.Hs.symbols
RTN4,c2.cp.wikipathways.v2023.2.Hs.symbols
IRS4,c2.cp.wikipathways.v2023.2.Hs.symbols
APP,c2.cp.wikipathways.v2023.2.Hs.symbols
FRAT1,c2.cp.wikipathways.v2023.2.Hs.symbols
GRIN2B,c2.cp.wikipathways.v2023.2.Hs.symbols
CSNK2A2,c2.cp.wikipathways.v2023.2.Hs.symbols
RB1CC1,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMA6,c2.cp.wikipathways.v2023.2.Hs.symbols
WNT7A,c2.cp.wikipathways.v2023.2.Hs.symbols
CSNK2A1,c2.cp.wikipathways.v2023.2.Hs.symbols
AXIN2,c2.cp.wikipathways.v2023.2.Hs.symbols
ATG14,c2.cp.wikipathways.v2023.2.Hs.symbols
FZD3,c2.cp.wikipathways.v2023.2.Hs.symbols
KIF5A,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMD12,c2.cp.wikipathways.v2023.2.Hs.symbols
FZD8,c2.cp.wikipathways.v2023.2.Hs.symbols
TUBAL3,c2.cp.wikipathways.v2023.2.Hs.symbols
PPP3R1,c2.cp.wikipathways.v2023.2.Hs.symbols
ATG13,c2.cp.wikipathways.v2023.2.Hs.symbols
FZD6,c2.cp.wikipathways.v2023.2.Hs.symbols
