Node List,Node Source
NR4A1,h.all.v2023.2.Hs.symbols
CCRL2,h.all.v2023.2.Hs.symbols
NINJ1,h.all.v2023.2.Hs.symbols
GCH1,h.all.v2023.2.Hs.symbols
PHLDA2,h.all.v2023.2.Hs.symbols
IER5,h.all.v2023.2.Hs.symbols
NFKB1,h.all.v2023.2.Hs.symbols
TNFAIP6,h.all.v2023.2.Hs.symbols
TSC22D1,h.all.v2023.2.Hs.symbols
BCL2A1,h.all.v2023.2.Hs.symbols
DUSP4,h.all.v2023.2.Hs.symbols
SLC2A6,h.all.v2023.2.Hs.symbols
PTPRE,h.all.v2023.2.Hs.symbols
BTG3,h.all.v2023.2.Hs.symbols
CDKN1A,h.all.v2023.2.Hs.symbols
B4GALT5,h.all.v2023.2.Hs.symbols
EHD1,h.all.v2023.2.Hs.symbols
NFKBIA,h.all.v2023.2.Hs.symbols
BIRC2,h.all.v2023.2.Hs.symbols
PNRC1,h.all.v2023.2.Hs.symbols
FOSL2,h.all.v2023.2.Hs.symbols
IL23A,h.all.v2023.2.Hs.symbols
RIPK2,h.all.v2023.2.Hs.symbols
TNIP2,h.all.v2023.2.Hs.symbols
EGR2,h.all.v2023.2.Hs.symbols
ICOSLG,h.all.v2023.2.Hs.symbols
CCN1,h.all.v2023.2.Hs.symbols
CFLAR,h.all.v2023.2.Hs.symbols
NAMPT,h.all.v2023.2.Hs.symbols
SDC4,h.all.v2023.2.Hs.symbols
IER3,h.all.v2023.2.Hs.symbols
SERPINB2,h.all.v2023.2.Hs.symbols
CXCL3,h.all.v2023.2.Hs.symbols
MAP2K3,h.all.v2023.2.Hs.symbols
KLF2,h.all.v2023.2.Hs.symbols
SGK1,h.all.v2023.2.Hs.symbols
TNF,h.all.v2023.2.Hs.symbols
DUSP5,h.all.v2023.2.Hs.symbols
SPHK1,h.all.v2023.2.Hs.symbols
GADD45B,h.all.v2023.2.Hs.symbols
IRF1,h.all.v2023.2.Hs.symbols
RNF19B,h.all.v2023.2.Hs.symbols
PLPP3,h.all.v2023.2.Hs.symbols
NR4A2,h.all.v2023.2.Hs.symbols
EIF1,h.all.v2023.2.Hs.symbols
TLR2,h.all.v2023.2.Hs.symbols
ETS2,h.all.v2023.2.Hs.symbols
IL15RA,h.all.v2023.2.Hs.symbols
CSF1,h.all.v2023.2.Hs.symbols
STAT5A,h.all.v2023.2.Hs.symbols
MCL1,h.all.v2023.2.Hs.symbols
MARCKS,h.all.v2023.2.Hs.symbols
SNN,h.all.v2023.2.Hs.symbols
RELA,h.all.v2023.2.Hs.symbols
NFIL3,h.all.v2023.2.Hs.symbols
CXCL2,h.all.v2023.2.Hs.symbols
RCAN1,h.all.v2023.2.Hs.symbols
DUSP2,h.all.v2023.2.Hs.symbols
SLC2A3,h.all.v2023.2.Hs.symbols
KLF9,h.all.v2023.2.Hs.symbols
TNFAIP2,h.all.v2023.2.Hs.symbols
GEM,h.all.v2023.2.Hs.symbols
TNFRSF9,h.all.v2023.2.Hs.symbols
JUN,h.all.v2023.2.Hs.symbols
CCL4,h.all.v2023.2.Hs.symbols
EGR1,h.all.v2023.2.Hs.symbols
ATF3,h.all.v2023.2.Hs.symbols
SOD2,h.all.v2023.2.Hs.symbols
CCL5,h.all.v2023.2.Hs.symbols
FUT4,h.all.v2023.2.Hs.symbols
PTX3,h.all.v2023.2.Hs.symbols
CD80,h.all.v2023.2.Hs.symbols
JAG1,h.all.v2023.2.Hs.symbols
KLF6,h.all.v2023.2.Hs.symbols
EFNA1,h.all.v2023.2.Hs.symbols
ZFP36,h.all.v2023.2.Hs.symbols
VEGFA,h.all.v2023.2.Hs.symbols
