Node List,Node Source
KCNN1,h.all.v2023.2.Hs.symbols
SCN10A,h.all.v2023.2.Hs.symbols
YPEL1,h.all.v2023.2.Hs.symbols
TENT5C,h.all.v2023.2.Hs.symbols
THRB,h.all.v2023.2.Hs.symbols
P2RY4,h.all.v2023.2.Hs.symbols
KRT15,h.all.v2023.2.Hs.symbols
KLHDC8A,h.all.v2023.2.Hs.symbols
WNT16,h.all.v2023.2.Hs.symbols
CALML5,h.all.v2023.2.Hs.symbols
CELSR2,h.all.v2023.2.Hs.symbols
CLDN16,h.all.v2023.2.Hs.symbols
PNMT,h.all.v2023.2.Hs.symbols
NR4A2,h.all.v2023.2.Hs.symbols
PROP1,h.all.v2023.2.Hs.symbols
TG,h.all.v2023.2.Hs.symbols
SOX10,h.all.v2023.2.Hs.symbols
GRID2,h.all.v2023.2.Hs.symbols
NRIP2,h.all.v2023.2.Hs.symbols
MAST3,h.all.v2023.2.Hs.symbols
CAMK1D,h.all.v2023.2.Hs.symbols
TENM2,h.all.v2023.2.Hs.symbols
ALOX12B,h.all.v2023.2.Hs.symbols
NGB,h.all.v2023.2.Hs.symbols
DLK2,h.all.v2023.2.Hs.symbols
SLC5A5,h.all.v2023.2.Hs.symbols
DCC,h.all.v2023.2.Hs.symbols
OXT,h.all.v2023.2.Hs.symbols
ATP6V1B1,h.all.v2023.2.Hs.symbols
CYP39A1,h.all.v2023.2.Hs.symbols
EDN1,h.all.v2023.2.Hs.symbols
FGGY,h.all.v2023.2.Hs.symbols
ADRA2C,h.all.v2023.2.Hs.symbols
CHST2,h.all.v2023.2.Hs.symbols
KCNQ2,h.all.v2023.2.Hs.symbols
ITIH3,h.all.v2023.2.Hs.symbols
IGFBP2,h.all.v2023.2.Hs.symbols
RYR2,h.all.v2023.2.Hs.symbols
SLC6A3,h.all.v2023.2.Hs.symbols
SLC16A7,h.all.v2023.2.Hs.symbols
FSHB,h.all.v2023.2.Hs.symbols
PAX4,h.all.v2023.2.Hs.symbols
LGALS7,h.all.v2023.2.Hs.symbols
SLC30A3,h.all.v2023.2.Hs.symbols
NOS1,h.all.v2023.2.Hs.symbols
TNNI3,h.all.v2023.2.Hs.symbols
NPHS1,h.all.v2023.2.Hs.symbols
CLDN8,h.all.v2023.2.Hs.symbols
TSHB,h.all.v2023.2.Hs.symbols
ACTC1,h.all.v2023.2.Hs.symbols
COPZ2,h.all.v2023.2.Hs.symbols
SSTR4,h.all.v2023.2.Hs.symbols
MAGIX,h.all.v2023.2.Hs.symbols
PAX3,h.all.v2023.2.Hs.symbols
KLK7,h.all.v2023.2.Hs.symbols
COL2A1,h.all.v2023.2.Hs.symbols
SERPINA10,h.all.v2023.2.Hs.symbols
CPEB3,h.all.v2023.2.Hs.symbols
BTG2,h.all.v2023.2.Hs.symbols
SKIL,h.all.v2023.2.Hs.symbols
EFHD1,h.all.v2023.2.Hs.symbols
PLAG1,h.all.v2023.2.Hs.symbols
GP2,h.all.v2023.2.Hs.symbols
PDK2,h.all.v2023.2.Hs.symbols
TEX15,h.all.v2023.2.Hs.symbols
CALCB,h.all.v2023.2.Hs.symbols
PDCD1,h.all.v2023.2.Hs.symbols
KCND1,h.all.v2023.2.Hs.symbols
MACROH2A2,h.all.v2023.2.Hs.symbols
SMPX,h.all.v2023.2.Hs.symbols
CD80,h.all.v2023.2.Hs.symbols
GTF3C5,h.all.v2023.2.Hs.symbols
RIBC2,h.all.v2023.2.Hs.symbols
THNSL2,h.all.v2023.2.Hs.symbols
SIDT1,h.all.v2023.2.Hs.symbols
SLC38A3,h.all.v2023.2.Hs.symbols
PDE6B,h.all.v2023.2.Hs.symbols
GP1BA,h.all.v2023.2.Hs.symbols
HNF1A,h.all.v2023.2.Hs.symbols
INSL5,h.all.v2023.2.Hs.symbols
MYH7,h.all.v2023.2.Hs.symbols
NUDT11,h.all.v2023.2.Hs.symbols
ABCG4,h.all.v2023.2.Hs.symbols
LYPD3,h.all.v2023.2.Hs.symbols
CHRNG,h.all.v2023.2.Hs.symbols
EDN2,h.all.v2023.2.Hs.symbols
EPHA5,h.all.v2023.2.Hs.symbols
FGF16,h.all.v2023.2.Hs.symbols
MEFV,h.all.v2023.2.Hs.symbols
ABCB11,h.all.v2023.2.Hs.symbols
CACNG1,h.all.v2023.2.Hs.symbols
MSH5,h.all.v2023.2.Hs.symbols
CD40LG,h.all.v2023.2.Hs.symbols
KRT13,h.all.v2023.2.Hs.symbols
ASB7,h.all.v2023.2.Hs.symbols
SLC12A3,h.all.v2023.2.Hs.symbols
SLC29A3,h.all.v2023.2.Hs.symbols
GPR3,h.all.v2023.2.Hs.symbols
COQ8A,h.all.v2023.2.Hs.symbols
PROS1,h.all.v2023.2.Hs.symbols
F2RL2,h.all.v2023.2.Hs.symbols
TIMP1,h.all.v2023.2.Hs.symbols
MBL2,h.all.v2023.2.Hs.symbols
ANG,h.all.v2023.2.Hs.symbols
PRSS23,h.all.v2023.2.Hs.symbols
C1S,h.all.v2023.2.Hs.symbols
DUSP14,h.all.v2023.2.Hs.symbols
CRIP2,h.all.v2023.2.Hs.symbols
MAFF,h.all.v2023.2.Hs.symbols
WDR1,h.all.v2023.2.Hs.symbols
FURIN,h.all.v2023.2.Hs.symbols
MASP2,h.all.v2023.2.Hs.symbols
MMP2,h.all.v2023.2.Hs.symbols
CFI,h.all.v2023.2.Hs.symbols
MMP3,h.all.v2023.2.Hs.symbols
HNF4A,h.all.v2023.2.Hs.symbols
F8,h.all.v2023.2.Hs.symbols
RAPGEF3,h.all.v2023.2.Hs.symbols
HPN,h.all.v2023.2.Hs.symbols
ISCU,h.all.v2023.2.Hs.symbols
VWF,h.all.v2023.2.Hs.symbols
CAPN2,h.all.v2023.2.Hs.symbols
COMP,h.all.v2023.2.Hs.symbols
ITIH1,h.all.v2023.2.Hs.symbols
MEP1A,h.all.v2023.2.Hs.symbols
MMP7,h.all.v2023.2.Hs.symbols
GNG12,h.all.v2023.2.Hs.symbols
S100A13,h.all.v2023.2.Hs.symbols
SH2B2,h.all.v2023.2.Hs.symbols
PREP,h.all.v2023.2.Hs.symbols
HTRA1,h.all.v2023.2.Hs.symbols
CTSH,h.all.v2023.2.Hs.symbols
ARF4,h.all.v2023.2.Hs.symbols
CPQ,h.all.v2023.2.Hs.symbols
CSRP1,h.all.v2023.2.Hs.symbols
C8B,h.all.v2023.2.Hs.symbols
C8G,h.all.v2023.2.Hs.symbols
FGG,h.all.v2023.2.Hs.symbols
CLU,h.all.v2023.2.Hs.symbols
CTSE,h.all.v2023.2.Hs.symbols
CFB,h.all.v2023.2.Hs.symbols
LTA4H,h.all.v2023.2.Hs.symbols
C1R,h.all.v2023.2.Hs.symbols
C8A,h.all.v2023.2.Hs.symbols
CASP9,h.all.v2023.2.Hs.symbols
LAMP2,h.all.v2023.2.Hs.symbols
SERPINC1,h.all.v2023.2.Hs.symbols
GDA,h.all.v2023.2.Hs.symbols
LRP1,h.all.v2023.2.Hs.symbols
F2,h.all.v2023.2.Hs.symbols
KLKB1,h.all.v2023.2.Hs.symbols
MMP9,h.all.v2023.2.Hs.symbols
SERPINA1,h.all.v2023.2.Hs.symbols
RABIF,h.all.v2023.2.Hs.symbols
C2,h.all.v2023.2.Hs.symbols
F12,h.all.v2023.2.Hs.symbols
F3,h.all.v2023.2.Hs.symbols
GP9,h.all.v2023.2.Hs.symbols
FYN,h.all.v2023.2.Hs.symbols
CTSV,h.all.v2023.2.Hs.symbols
HMGCS2,h.all.v2023.2.Hs.symbols
MST1,h.all.v2023.2.Hs.symbols
F10,h.all.v2023.2.Hs.symbols
ITGA2,h.all.v2023.2.Hs.symbols
CTSB,h.all.v2023.2.Hs.symbols
S100A1,h.all.v2023.2.Hs.symbols
TFPI2,h.all.v2023.2.Hs.symbols
MMP10,h.all.v2023.2.Hs.symbols
PECAM1,h.all.v2023.2.Hs.symbols
CD9,h.all.v2023.2.Hs.symbols
SERPINE1,h.all.v2023.2.Hs.symbols
HRG,h.all.v2023.2.Hs.symbols
APOC1,h.all.v2023.2.Hs.symbols
CPB2,h.all.v2023.2.Hs.symbols
LEFTY2,h.all.v2023.2.Hs.symbols
RGN,h.all.v2023.2.Hs.symbols
TF,h.all.v2023.2.Hs.symbols
APOC2,h.all.v2023.2.Hs.symbols
ACOX2,h.all.v2023.2.Hs.symbols
GNB2,h.all.v2023.2.Hs.symbols
A2M,h.all.v2023.2.Hs.symbols
PLEK,h.all.v2023.2.Hs.symbols
THBS1,h.all.v2023.2.Hs.symbols
C1QA,h.all.v2023.2.Hs.symbols
MMP8,h.all.v2023.2.Hs.symbols
MMP11,h.all.v2023.2.Hs.symbols
OLR1,h.all.v2023.2.Hs.symbols
DUSP6,h.all.v2023.2.Hs.symbols
USP11,h.all.v2023.2.Hs.symbols
CTSK,h.all.v2023.2.Hs.symbols
C3,h.all.v2023.2.Hs.symbols
DCT,h.all.v2023.2.Hs.symbols
TMPRSS6,h.all.v2023.2.Hs.symbols
BMP1,h.all.v2023.2.Hs.symbols
CAPN5,h.all.v2023.2.Hs.symbols
MSRB2,h.all.v2023.2.Hs.symbols
APOC3,h.all.v2023.2.Hs.symbols
CFH,h.all.v2023.2.Hs.symbols
MMP1,h.all.v2023.2.Hs.symbols
SPARC,h.all.v2023.2.Hs.symbols
ADAM9,h.all.v2023.2.Hs.symbols
GSN,h.all.v2023.2.Hs.symbols
THBD,h.all.v2023.2.Hs.symbols
CPN1,h.all.v2023.2.Hs.symbols
APOA1,h.all.v2023.2.Hs.symbols
PROZ,h.all.v2023.2.Hs.symbols
MMP14,h.all.v2023.2.Hs.symbols
PDGFB,h.all.v2023.2.Hs.symbols
PEF1,h.all.v2023.2.Hs.symbols
PLAU,h.all.v2023.2.Hs.symbols
KLF7,h.all.v2023.2.Hs.symbols
SERPING1,h.all.v2023.2.Hs.symbols
MMP15,h.all.v2023.2.Hs.symbols
P2RY1,h.all.v2023.2.Hs.symbols
ANXA1,h.all.v2023.2.Hs.symbols
CTSO,h.all.v2023.2.Hs.symbols
PLG,h.all.v2023.2.Hs.symbols
LGMN,h.all.v2023.2.Hs.symbols
F11,h.all.v2023.2.Hs.symbols
PLAT,h.all.v2023.2.Hs.symbols
F13B,h.all.v2023.2.Hs.symbols
DPP4,h.all.v2023.2.Hs.symbols
CFD,h.all.v2023.2.Hs.symbols
ITGB3,h.all.v2023.2.Hs.symbols
PF4,h.all.v2023.2.Hs.symbols
SIRT2,h.all.v2023.2.Hs.symbols
C9,h.all.v2023.2.Hs.symbols
TIMP3,h.all.v2023.2.Hs.symbols
FGA,h.all.v2023.2.Hs.symbols
RAC1,h.all.v2023.2.Hs.symbols
FBN1,h.all.v2023.2.Hs.symbols
F9,h.all.v2023.2.Hs.symbols
FN1,h.all.v2023.2.Hs.symbols
PROC,h.all.v2023.2.Hs.symbols
SORBS2,h.all.v2023.2.Hs.symbols
ALS2,h.all.v2023.2.Hs.symbols
CSNK1D,h.all.v2023.2.Hs.symbols
TUBGCP3,h.all.v2023.2.Hs.symbols
NOTCH2,h.all.v2023.2.Hs.symbols
PCGF5,h.all.v2023.2.Hs.symbols
DST,h.all.v2023.2.Hs.symbols
RHOT2,h.all.v2023.2.Hs.symbols
TSC1,h.all.v2023.2.Hs.symbols
ATG4B,h.all.v2023.2.Hs.symbols
TUBGCP5,h.all.v2023.2.Hs.symbols
SOS1,h.all.v2023.2.Hs.symbols
OPHN1,h.all.v2023.2.Hs.symbols
GEMIN4,h.all.v2023.2.Hs.symbols
ABR,h.all.v2023.2.Hs.symbols
CEP250,h.all.v2023.2.Hs.symbols
CEP72,h.all.v2023.2.Hs.symbols
KIF3C,h.all.v2023.2.Hs.symbols
LATS1,h.all.v2023.2.Hs.symbols
DOCK2,h.all.v2023.2.Hs.symbols
MARCKS,h.all.v2023.2.Hs.symbols
BIN1,h.all.v2023.2.Hs.symbols
CDC42BPA,h.all.v2023.2.Hs.symbols
CKAP5,h.all.v2023.2.Hs.symbols
PAFAH1B1,h.all.v2023.2.Hs.symbols
FGD4,h.all.v2023.2.Hs.symbols
NUSAP1,h.all.v2023.2.Hs.symbols
PKD2,h.all.v2023.2.Hs.symbols
ECT2,h.all.v2023.2.Hs.symbols
YWHAE,h.all.v2023.2.Hs.symbols
RHOF,h.all.v2023.2.Hs.symbols
RABGAP1,h.all.v2023.2.Hs.symbols
TLK1,h.all.v2023.2.Hs.symbols
CD2AP,h.all.v2023.2.Hs.symbols
VCL,h.all.v2023.2.Hs.symbols
ARHGEF3,h.all.v2023.2.Hs.symbols
DLG1,h.all.v2023.2.Hs.symbols
KIF11,h.all.v2023.2.Hs.symbols
RANBP9,h.all.v2023.2.Hs.symbols
CAPZB,h.all.v2023.2.Hs.symbols
CDC42EP4,h.all.v2023.2.Hs.symbols
FLNB,h.all.v2023.2.Hs.symbols
CENPF,h.all.v2023.2.Hs.symbols
HDAC6,h.all.v2023.2.Hs.symbols
SSH2,h.all.v2023.2.Hs.symbols
CNTROB,h.all.v2023.2.Hs.symbols
KIFAP3,h.all.v2023.2.Hs.symbols
SAC3D1,h.all.v2023.2.Hs.symbols
ARHGAP10,h.all.v2023.2.Hs.symbols
NIN,h.all.v2023.2.Hs.symbols
KATNB1,h.all.v2023.2.Hs.symbols
DOCK4,h.all.v2023.2.Hs.symbols
RASA1,h.all.v2023.2.Hs.symbols
BCL2L11,h.all.v2023.2.Hs.symbols
TIAM1,h.all.v2023.2.Hs.symbols
KATNA1,h.all.v2023.2.Hs.symbols
ARL8A,h.all.v2023.2.Hs.symbols
SUN2,h.all.v2023.2.Hs.symbols
KLC1,h.all.v2023.2.Hs.symbols
ALMS1,h.all.v2023.2.Hs.symbols
